brand,status,file,source_asset,source_page
2786,source-candidate,2786.jpg,https://shop.ralawise.com/4ae19d/contentassets/ccd62fda0a7b4dac94e587ae89156baa/2786_web.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/2786/
Adidas,missing,,,
Anthem,source-candidate,Anthem.jpg,https://shop.ralawise.com/4af9d6/siteassets/.com/global/navigation/sustainable-2022/dropdown-sustainable-ral30022-january-colour-01-anthem2.png?Format=jpg&Width=1920,https://shop.ralawise.com/anthem/
Asquith & Fox,missing,,,
AWDis,rejected-wrong-asset,,https://shop.ralawise.com/4af9d7/siteassets/.com/global/navigation/sustainable-2022/dropdown-sustainable-ral30022-january-colour-02-awdis-ecologie2.png?Format=jpg&Width=1920,https://shop.ralawise.com/awdis/
AWDis Academy,source-candidate,AWDis-Academy.jpg,https://shop.ralawise.com/4ae13f/contentassets/ef8a88d6d3ff47ed93f5679cfcf2ad6e/awdisacademy_web.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/awdisacademy/
AWDis Ecologie,source-candidate,AWDis-Ecologie.jpg,https://shop.ralawise.com/4af9d7/siteassets/.com/global/navigation/sustainable-2022/dropdown-sustainable-ral30022-january-colour-02-awdis-ecologie2.png?Format=jpg&Width=1920,https://shop.ralawise.com/awdisecologie/
AWDis Just Cool,source-candidate,AWDis-Just-Cool.jpg,https://shop.ralawise.com/4ad4bf/contentassets/adee37eee8c446848df04d89a1873f35/awdisjustcool_web.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/awdisjustcool/
AWDis Just Hoods,rejected-wrong-asset,,https://shop.ralawise.com/4a081d/contentassets/300f9e0fde2a4efd9ec2bda715499804/exclusive-dropdown-logo-bc-collection.png?Format=jpg&Width=1920,https://shop.ralawise.com/awdisjusthoods/
AWDis Just Polo's,source-candidate,AWDis-Just-Polo-s.jpg,https://shop.ralawise.com/4ad4e4/contentassets/70415bc10b7a44078970d1626ee1eec7/awdisjustpolos_web.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/awdisjustpolos/
AWDis So Denim,source-candidate,AWDis-So-Denim.jpg,https://shop.ralawise.com/4ad509/contentassets/bfd6913b78cf45f7999ea501744d480d/awdissodenim_web.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/awdissodenim/
AWDis Just T's,missing,,,
B&C; Collection,missing,,,
BabyBugz,source-candidate,BabyBugz.jpg,https://shop.ralawise.com/4ad5a2/contentassets/020b5d31633643f982311e417549a5d7/babybugz_web.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/babybugz/
BagBase,source-candidate,BagBase.jpg,https://shop.ralawise.com/4aef5b/contentassets/397e6ad04085485dbdbe25ca014a690b/bagbase_web.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/bagbase/
Beechfield,source-candidate,Beechfield.jpg,https://shop.ralawise.com/4ad5e1/contentassets/64a7c2dc90684a8fa0253a9b9ea8c097/beechfield_web.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/beechfield/
Bella+Canvas,missing,,,
Build Your Brand,source-candidate,Build-Your-Brand.jpg,https://shop.ralawise.com/4aed4d/contentassets/a2fb49e79454429daf0ac76cec609e92/128x128_byb.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/buildyourbrand/
Build Your Brand Basic,source-candidate,Build-Your-Brand-Basic.jpg,https://shop.ralawise.com/4aed58/contentassets/477e9ef94a0649fd8d59dbae7d0bc4fb/128x128_bybb.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/buildyourbrandbasic/
Build Your Brandit,source-candidate,Build-Your-Brandit.jpg,https://shop.ralawise.com/4aed67/contentassets/93cb77361a7d40a1a92410f9b6e1fde3/128x128_bybrandit.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/buildyourbrandit/
Callaway,source-candidate,Callaway.jpg,https://shop.ralawise.com/4ae2ce/contentassets/364ea54fbeed46d2aff2c0fe4fb7be5b/callaway_web.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/callaway/
Colortone,source-candidate,Colortone.jpg,https://shop.ralawise.com/4ae2a1/contentassets/960b5fd2683c4201b9fc4b8905f6e22d/colortone_web.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/colortone/
Comfort Colors,missing,,,
Craghoppers Expert,missing,,,
Finden & Hales,missing,,,
Flexfit by Yupoong,rejected-wrong-asset,,https://shop.ralawise.com/4a081d/contentassets/300f9e0fde2a4efd9ec2bda715499804/exclusive-dropdown-logo-bc-collection.png?Format=jpg&Width=1920,https://shop.ralawise.com/flexfitbyyupoong/
Front Row,rejected-wrong-asset,,https://shop.ralawise.com/4a081d/contentassets/300f9e0fde2a4efd9ec2bda715499804/exclusive-dropdown-logo-bc-collection.png?Format=jpg&Width=1920,https://shop.ralawise.com/frontrow/
Fruit of the Loom,rejected-wrong-asset,,https://shop.ralawise.com/4a081d/contentassets/300f9e0fde2a4efd9ec2bda715499804/exclusive-dropdown-logo-bc-collection.png?Format=jpg&Width=1920,https://shop.ralawise.com/fruitoftheloom/
Gildan,source-candidate,Gildan.jpg,https://shop.ralawise.com/4ae3f2/contentassets/0f5ff6aa30f443d2960af8cf00a92f7a/gildan_web.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/gildan/
Henbury,source-candidate,Henbury.jpg,https://shop.ralawise.com/4aeaab/contentassets/b14974af25d64177b6e6f627d133099d/henbury_web.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/henbury/
Kariban,source-candidate,Kariban.jpg,https://shop.ralawise.com/4ae465/contentassets/19d64bbf6ccc46e8b097403e01d702e8/kariban_web.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/kariban/
Kariban Proact,rejected-wrong-asset,,https://shop.ralawise.com/4a081d/contentassets/300f9e0fde2a4efd9ec2bda715499804/exclusive-dropdown-logo-bc-collection.png?Format=jpg&Width=1920,https://shop.ralawise.com/karibanproact/
KiMood,source-candidate,KiMood.jpg,https://shop.ralawise.com/4af59d/contentassets/24246b841883478ab6f2e0a0452dc857/brand-banner-2023-kimood.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/kimood/
Kodak,rejected-wrong-asset,,https://shop.ralawise.com/4a081d/contentassets/300f9e0fde2a4efd9ec2bda715499804/exclusive-dropdown-logo-bc-collection.png?Format=jpg&Width=1920,https://shop.ralawise.com/kodak/
Kustom Kit,rejected-wrong-asset,,https://shop.ralawise.com/4a081d/contentassets/300f9e0fde2a4efd9ec2bda715499804/exclusive-dropdown-logo-bc-collection.png?Format=jpg&Width=1920,https://shop.ralawise.com/kustomkit/
Larkwood,source-candidate,Larkwood.jpg,https://shop.ralawise.com/4ae491/contentassets/85f7737a26ec4ef0856c3a8ecc3344db/larkwood_web.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/larkwood/
Maddins,source-candidate,Maddins.jpg,https://shop.ralawise.com/4ae4a8/contentassets/0189b7c85cb6422ca4240a88edae2e3f/maddins_web.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/maddins/
Madeira,source-candidate,Madeira.jpg,https://shop.ralawise.com/499408/contentassets/6ef519b61f78463a95022f2da97b8768/brand-banner-2024-madeira.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/madeira/
MagiCut,rejected-wrong-asset,,https://shop.ralawise.com/4a081d/contentassets/300f9e0fde2a4efd9ec2bda715499804/exclusive-dropdown-logo-bc-collection.png?Format=jpg&Width=1920,https://shop.ralawise.com/magicut/
Mumbles,source-candidate,Mumbles.jpg,https://shop.ralawise.com/4ae51b/contentassets/9c7a5d3900964fd8865e8f4c1f0559b1/mumbles_web.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/mumbles/
New Morning Studios,source-candidate,New-Morning-Studios.jpg,https://shop.ralawise.com/4ae45e/contentassets/d640593526164cea903f2c19e2be0fca/new-morning-studios-logo.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/newmorningstudios/
Nike,source-candidate,Nike.jpg,https://shop.ralawise.com/4addc8/globalassets/brand-assets-2020/brands/h---n/nike/brand-banners-2021-nike.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/nike/
Nimbus,source-candidate,Nimbus.jpg,https://shop.ralawise.com/4ae05c/contentassets/44bd6b9487b04fde8ddba58932cc2821/brand-banner-2023-nimbus.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/nimbus/
Nutshell,missing,,,
OGIO,source-candidate,OGIO.jpg,https://shop.ralawise.com/4ae09e/contentassets/b87bd73a5d0f4427850614992cfe3941/brand-banner-2023-ogio.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/ogio/
Onna By Premier,missing,,,
Portman & Pooch,missing,,,
Portwest,source-candidate,Portwest.jpg,https://shop.ralawise.com/4ae0a6/contentassets/3469709a5d5f4fb4b4b3e15d2daca802/brand-banner-2023-portwest.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/portwest/
Premier,source-candidate,Premier.jpg,https://shop.ralawise.com/4ae108/contentassets/7701a6820ab948d7bbad73ab3196bd63/brand-banner-2023-premier.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/premier/
Pro RTX,source-candidate,Pro-RTX.jpg,https://shop.ralawise.com/4ae130/contentassets/2b00e071f48e42a8abe2cfa13897c9ee/brand-banner-2023-prortx.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/prortx/
Pro RTX High Visibility,source-candidate,Pro-RTX-High-Visibility.jpg,https://shop.ralawise.com/4ae14f/contentassets/2a8e1787bdb2410c804531be1762516d/brand-banner-2023-prortx-high-visibility.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/prortxhighvisibility/
Quadra,source-candidate,Quadra.jpg,https://shop.ralawise.com/4ae163/contentassets/601d285282ec4bed9893183c8f91b915/brand-banner-2023-quadra.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/quadra/
RalaFlex,source-candidate,RalaFlex.jpg,https://shop.ralawise.com/4ae503/contentassets/b441c6fd181547cfaf9abc2a5e849607/brand-banner-2023-ralaflex.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/ralaflex/
Regatta High Visibility,source-candidate,Regatta-High-Visibility.jpg,https://shop.ralawise.com/4ae544/contentassets/89b1fce39c3c44f48a624bffa9681e72/brand-banner-2023-regatta-high-visibility.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/regattahighvisibility/
Regatta Honestly Made,source-candidate,Regatta-Honestly-Made.jpg,https://shop.ralawise.com/4ae084/contentassets/f13792fe82d34115901febfc046e423a/brand-banner-2023-regatta-honestly-made.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/regattahonestlymade/
Regatta Junior,source-candidate,Regatta-Junior.jpg,https://shop.ralawise.com/4ae0a4/contentassets/42b1c848d4bc4900b2894cbe49c83b74/brand-banner-2023-regatta-junior.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/regattajunior/
Regatta Professional,rejected-wrong-asset,,https://shop.ralawise.com/4a081d/contentassets/300f9e0fde2a4efd9ec2bda715499804/exclusive-dropdown-logo-bc-collection.png?Format=jpg&Width=1920,https://shop.ralawise.com/regattaprofessional/
